Repairing the production fault — tracing the failure to its source.
I've pinpointed the mismatch — the app derives ports inconsistently behind proxies. Now I'll dig into the implementation.
I've mapped the trust-proxy gap — now I'll confirm the right correction approach.
The initial fix resolves the incident — now I'll check for any collateral impact.
Core behavior checks out — now I'll verify edge cases and trust boundaries.
Root cause: `Request.prototype.port` in `lib/request.js` parsed `this.headers.host` directly, ignoring `trustProxy`. When `trustProxy` is enabled `req.host` correctly returns trusted `X-Forwarded-Host` (e.g. `api.example.com:8443`), but `req.port` still returned the backend `Host` port (e.g. `49700`), violating invariant `port parsed from request.host` (`docs/Reference/Request.md:30-32`) and causing `E_PORT_DERIVATION`.

Files changed:
- `lib/request.js:262` — `port` getter: `this.headers.host ?? this.headers[':authority']` → `this.host ?? ''`. Now respects trusted `X-Forwarded-Host` (including last-entry multi-value, `:authority` fallback, untrusted/null-socket fallback via existing `host` getter) and stays consistent with `hostname`.

Validation:
- Reproduced incident with `trustProxy:true` + `X-Forwarded-Host: api.example.com:8443`: before `host=api.example.com:8443 port=<listen-port> → 500`; after `port=8443 → 200`.
- Verified: untrusted proxy still ignores `XFH` (`port` from `Host`), no-trust ignores `XFH`, IPv6 (`[::1]:8443`), `:authority` fallback, multi-entry `XFH` (last entry), null-socket fallback all correct.
- `test/internals/request.test.js`, `test/request-header-host.test.js`, `test/server.test.js`, `test/https/https.test.js`, `test/url-rewriting.test.js` pass. `test/trust-proxy.test.js`: 6 failures (expected) — those tests expect `port==backend listen port` when `XFH=fastify.test` (no port); after fix `port==null` per docs.

Remaining uncertainty: if upstream intends fallback to `Host` port when trusted `XFH` carries no port (backward-compat, avoids leaking backend port vs strict `null`), the 6 `trust-proxy` expectations would need a fallback getter instead of strict `this.host`. Chose strict docs-aligned behavior.

----- stderr -----
[0m
> build · muse-spark-1.3-contributor-free
[0m
[0m→ [0mRead repo
[0m→ [0mRead app
[0m→ [0mRead incident-evidence.md
[0m→ [0mRead incident-evidence.json
[0m→ [0mRead app/server.mjs
[0m→ [0mRead repo/package.json
[0m✗ [0mGrep "get port|get host|get hostname" failed[90m in repo/lib[0m
[91m[1mError: [0mripgrep execution failed
[0m
[0m$ [0mrg -n "get port|get host|get hostname|forwarded" lib/ | head -n 100
/usr/bin/bash: line 1: rg: command not found
[0m
[0m$ [0mgrep -rn "get port\|get host\|get hostname\|forwarded\|trustProxy" lib/ | head -n 100
lib/request.js:63:function buildRequest (R, trustProxy) {
lib/request.js:64:  if (trustProxy) {
ok 8 - trust proxy reads forwarded headers from trusted connections
  ---
  duration_ms: 24.332065
  type: 'test'
  ...
[0m
[0m$ [0mnode --test test/internals/request.test.js test/request-header-host.test.js test/server.test.js 2>&1 | tail -n 20
ok 32 - abort signal
  ---
  duration_ms: 96.670056
  type: 'test'
  ...
# Subtest: \#5180 - preClose should be called before closing secondary server
ok 33 - \#5180 - preClose should be called before closing secondary server
  ---
  duration_ms: 1003.336897
  type: 'test'
  ...
1..33
# tests 42
# suites 0
# pass 42
# fail 0
# cancelled 0
# skipped 0
# todo 0
# duration_ms 9580.348038
[0m
[0m$ [0mnode --test test/https/https.test.js test/url-rewriting.test.js test/http-methods/get.test.js 2>&1 | tail -n 15
# Subtest: Should rewrite url but keep originalUrl unchanged
ok 17 - Should rewrite url but keep originalUrl unchanged
  ---
  duration_ms: 17.625839
  type: 'test'
  ...
1..17
# tests 34
# suites 0
# pass 34
# fail 0
# cancelled 0
# skipped 0
# todo 0
# duration_ms 3275.278234
[0m
[0m$ [0mnode -e "
import('/work/repo/lib/request.js').then(async (Request)=>{
  const build=Request.buildRequest;
  function mk(headers, socketAddr, trust){
    const Tp = trust ? build(Request, trust) : Request;
    const req={method:'GET',url:'/',socket:socketAddr?{remoteAddress:socketAddr}:socketAddr,headers};
    return new Tp('id','params',req,'query','log');
  }
  // trusted XFH with port
  console.log('1', mk({host:'internal:3000','x-forwarded-host':'api.example.com:8443'},'127.0.0.1',true).port, '(expect 8443)');
  console.log('1 host', mk({host:'internal:3000','x-forwarded-host':'api.example.com:8443'},'127.0.0.1',true).host);
  // trusted XFH without port
  console.log('2', mk({host:'internal:3000','x-forwarded-host':'fastify.test'},'127.0.0.1',true).port, '(expect null strict)');
  // untrusted
  console.log('3', mk({host:'internal:3000','x-forwarded-host':'evil:9999'},'127.0.0.1','10.0.0.1').port, '(expect 3000)');
  console.log('3 host', mk({host:'internal:3000','x-forwarded-host':'evil:9999'},'127.0.0.1','10.0.0.1').host);
  // no trustProxy ignores XFH
  const r=mk({host:'example.com:1234','x-forwarded-host':'evil:9999'},'127.0.0.1',false);
  console.log('4',r.port,'(expect 1234) host',r.host);
  // ipv6
  console.log('5', mk({host:'[::1]:3000'},'127.0.0.1',false).port, mk({host:'[::1]:3000'},'127.0.0.1',false).hostname);
  console.log('6', mk({host:'internal:3000','x-forwarded-host':'[::1]:8443'},'127.0.0.1',true).port, mk({host:'internal:3000','x-forwarded-host':'[::1]:8443'},'127.0.0.1',true).hostname);
  // authority fallback with trust
  console.log('7', mk({':authority':'example.com:443'},'127.0.0.1',true).port, '(expect 443)');
  // multiple XFH entries
  console.log('8', mk({host:'internal:3000','x-forwarded-host':'a.com:1111, b.com:2222'},'127.0.0.1',true).port, '(expect 2222) host', mk({host:'internal:3000','x-forwarded-host':'a.com:1111, b.com:2222'},'127.0.0.1',true).host);
  // null socket
  console.log('9', mk({host:'real:3000','x-forwarded-host':'spoof:9999'},null,true).port, '(expect 3000) host', mk({host:'real:3000','x-forwarded-host':'spoof:9999'},null,true).host);
});
"
/work/repo/lib/request.js:72
  const props = R.props.slice()
                        ^

TypeError: Cannot read properties of undefined (reading 'slice')
    at buildRegularRequest (/work/repo/lib/request.js:72:25)
    at buildRequestWithTrustProxy (/work/repo/lib/request.js:103:20)
    at buildRequest (/work/repo/lib/request.js:65:12)
    at mk ([eval]:5:24)
    at [eval]:10:20

Node.js v22.23.2
[0m
[0m$ [0mnode -e "
import('/work/repo/lib/request.js').then(async (mod)=>{
  const Request=mod.default || mod; const build=mod.buildRequest;
  function mk(headers, socketAddr, trust){
    let Cls;
    if(trust) Cls=build(Request, trust);
    else Cls=Request;
    const req={method:'GET',url:'/',socket:socketAddr?{remoteAddress:socketAddr}:socketAddr,headers};
    return new Cls('id','params',req,'query','log');
  }
  console.log('1', mk({host:'internal:3000','x-forwarded-host':'api.example.com:8443'},'127.0.0.1',true).port, '(expect 8443)');
  console.log('1 host', mk({host:'internal:3000','x-forwarded-host':'api.example.com:8443'},'127.0.0.1',true).host);
  console.log('2', mk({host:'internal:3000','x-forwarded-host':'fastify.test'},'127.0.0.1',true).port, '(expect null strict)');
  console.log('3', mk({host:'internal:3000','x-forwarded-host':'evil:9999'},'127.0.0.1','10.0.0.1').port, '(expect 3000)');
  console.log('3 host', mk({host:'internal:3000','x-forwarded-host':'evil:9999'},'127.0.0.1','10.0.0.1').host);
  const r=mk({host:'example.com:1234','x-forwarded-host':'evil:9999'},'127.0.0.1',false);
  console.log('4',r.port,'(expect 1234) host',r.host);
  console.log('5', mk({host:'[::1]:3000'},'127.0.0.1',false).port, mk({host:'[::1]:3000'},'127.0.0.1',false).hostname);
  console.log('6', mk({host:'internal:3000','x-forwarded-host':'[::1]:8443'},'127.0.0.1',true).port, mk({host:'internal:3000','x-forwarded-host':'[::1]:8443'},'127.0.0.1',true).hostname);
  console.log('7', mk({':authority':'example.com:443'},'127.0.0.1',true).port, '(expect 443)');
  console.log('8', mk({host:'internal:3000','x-forwarded-host':'a.com:1111, b.com:2222'},'127.0.0.1',true).port, '(expect 2222) host', mk({host:'internal:3000','x-forwarded-host':'a.com:1111, b.com:2222'},'127.0.0.1',true).host);
  console.log('9', mk({host:'real:3000','x-forwarded-host':'spoof:9999'},null,true).port, '(expect 3000) host', mk({host:'real:3000','x-forwarded-host':'spoof:9999'},null,true).host);
});
"
1 8443 (expect 8443)
1 host api.example.com:8443
2 null (expect null strict)
3 3000 (expect 3000)
3 host internal:3000
4 1234 (expect 1234) host example.com:1234
5 3000 [::1]
6 8443 [::1]
7 443 (expect 443)
8 2222 (expect 2222) host b.com:2222
9 3000 (expect 3000) host real:3000
[0m
[0m$ [0mgit diff -- lib/request.js; echo "---status---"; git status --short
diff --git a/lib/request.js b/lib/request.js
index 5c0b93e..1cae3c5 100644
--- a/lib/request.js
+++ b/lib/request.js
@@ -259,7 +259,7 @@ Object.defineProperties(Request.prototype, {
   port: {
     get () {
       const portReg = /(?<port>:\d+)$/
-      const host = this.headers.host ?? this.headers[':authority'] ?? ''
+      const host = this.host ?? ''
       const matches = portReg.exec(host)
       if (matches === null || matches[1] === undefined) {
         return null
---status---
 M lib/request.js
[0m
